Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_TotalLoss,Valid_TotalLoss
66,0.002081,0.005233,0.003139,0.237992,0.228946,2.630218,1.182981,0.001046,0.000976
67,0.002061,0.003040,0.003510,0.236485,0.227346,1.505400,1.384599,0.000986,0.000978
68,0.002040,0.003552,0.004211,0.235358,0.226588,1.417128,1.163568,0.000988,0.000970
69,0.002020,0.003408,0.007786,0.234310,0.225735,1.599432,1.322298,0.000986,0.000993
70,0.001999,0.005155,0.005321,0.233280,0.224426,1.924167,1.668760,0.000999,0.000983
71,0.001979,0.004255,0.002354,0.232119,0.223356,1.517917,1.313683,0.000973,0.000954
72,0.001960,0.003238,0.005872,0.231009,0.222321,1.558884,2.569320,0.000964,0.001005
73,0.001940,0.003193,0.006770,0.230614,0.221414,2.372783,1.203769,0.000989,0.000963
74,0.001921,0.005038,0.003563,0.229130,0.220680,1.434573,1.188361,0.000972,0.000942
75,0.001901,0.003302,0.005136,0.228277,0.220091,1.676191,1.501795,0.000957,0.000956
76,0.001882,0.004641,0.003091,0.227306,0.219253,1.385264,1.302121,0.000962,0.000938
77,0.001864,0.003462,0.006943,0.226471,0.219091,1.689952,1.849489,0.000955,0.000974
78,0.001845,0.006541,0.003905,0.225670,0.217282,1.711150,1.525053,0.000975,0.000939
79,0.001826,0.003421,0.004180,0.224718,0.218434,1.411247,3.021804,0.000938,0.000991
80,0.001808,0.004438,0.003220,0.224608,0.216120,2.303009,1.175735,0.000979,0.000920
81,0.001790,0.003078,0.002595,0.223262,0.215158,1.578983,1.771752,0.000941,0.000933
82,0.001772,0.003867,0.002996,0.222388,0.214414,1.518383,1.266013,0.000935,0.000916
83,0.001754,0.003545,0.002316,0.221615,0.213914,1.507987,1.588503,0.000938,0.000921
84,0.001737,0.003592,0.005343,0.220943,0.212944,1.613450,1.994041,0.000940,0.000942
85,0.001720,0.003974,0.004697,0.220157,0.212460,1.555956,1.311263,0.000920,0.000914
86,0.001702,0.004547,0.004656,0.219353,0.211606,1.446610,1.176932,0.000924,0.000906
87,0.001685,0.004173,0.005071,0.218698,0.210936,1.417045,1.583432,0.000917,0.000918
88,0.001668,0.003991,0.004335,0.217908,0.210322,1.358783,1.228520,0.000907,0.000901
89,0.001652,0.003599,0.002445,0.217415,0.209529,1.474627,1.919856,0.000913,0.000913
90,0.001635,0.002441,0.002620,0.216691,0.209764,1.377001,1.460167,0.000910,0.000898
91,0.001619,0.002471,0.002333,0.215882,0.209406,1.363410,2.011031,0.000900,0.000914
92,0.001603,0.004047,0.003138,0.215559,0.208636,1.550032,1.723617,0.000908,0.000904
93,0.001587,0.003368,0.002134,0.214769,0.207741,1.309647,1.072796,0.000889,0.000877
94,0.001571,0.002653,0.002691,0.214250,0.206902,1.361227,1.140356,0.000894,0.000877
95,0.001555,0.003340,0.004258,0.213626,0.207577,1.662530,2.445455,0.000905,0.000926
96,0.001540,0.003896,0.002903,0.212904,0.206046,1.679781,1.561387,0.000901,0.000887
97,0.001524,0.003231,0.004667,0.212334,0.206205,1.479117,3.015092,0.000893,0.000940
98,0.001509,0.002959,0.004554,0.212256,0.204592,2.154976,2.094844,0.000904,0.000905
99,0.001494,0.003865,0.003863,0.211667,0.204222,2.060053,1.084080,0.000900,0.000867
100,0.001479,0.003637,0.002683,0.210826,0.203526,1.304741,1.387456,0.000873,0.000870
